Word,Cluster,X,Y,new_cluster
댄서블한,8,18.935322,-0.40461165,14
슬픔,15,-1.1846818,-0.6840739,8
청량,4,13.297459,-0.436393,13
알앤비,4,12.001349,-0.43786785,13
재즈,10,31.494259,0.4245939,19
외로움,6,2.534727,-0.6920509,9
크리스마스,19,28.231861,0.18202038,17
일,1,26.88289,0.76373863,16
추천,10,31.470133,0.416602,19
리스트,8,17.042017,-0.15012756,14
파티,7,30.28926,0.31962666,18
트렌디,14,22.327112,-0.08185716,15
달콤,13,9.713408,-0.55292416,12
아침,14,20.244627,-0.086352825,15
특집,7,30.190762,0.37755924,18
플레이,13,11.14872,-0.7307502,12
아이돌,8,17.11203,-0.44256827,14
더위,3,6.7880445,-0.8018669,11
그리움,6,2.6989398,-0.6940768,9
스타,3,7.3636465,-0.51516545,11
하우스,1,25.837608,0.42899665,16
드라마,19,29.564775,0.09115168,17
짜증,13,10.450741,-0.31769562,12
리메이크,3,7.1763444,-0.5192371,11
방해,8,16.595348,0.16416365,14
금지,8,18.586433,0.24235536,14
모드,14,20.507704,0.13796277,15
블루스,17,-3.3921452,-0.6493275,7
포크,0,-5.3636465,-0.8520538,6
감각,1,26.928112,-0.06976213,16
일상,1,24.648176,-0.029649315,16
메탈,4,13.094841,-0.4406805,13
거리,16,4.3119183,-0.67412674,10
연주,13,10.257265,-0.68422437,12
시원,3,7.641309,-0.63078564,11
기쁨,16,5.2214446,-0.658279,10
분위기,14,22.99832,-0.062352322,15
위,6,1.5868484,-0.64781076,9
락,13,10.88971,-0.27833763,12
스페셜,1,27.184744,0.36236405,16
명품,12,-9.97261,-0.55269206,5
브금,12,-6.87295,-0.54718703,5
스우파,7,30.081219,-0.23315068,18
클래식,1,25.133286,0.2742729,16
초가을,9,-20.227808,-0.11411051,2
스트릿우먼파이터,7,29.987675,-0.27008185,18
라운지,4,15.254504,-0.35633132,13
곡,6,1.931624,-0.7047861,9
스트릿우먼,14,20.909521,-0.26143906,15
워너비,11,-12.052619,-0.13713126,4
아련,5,-15.760807,-0.10958413,3
집중,8,18.568346,-0.052787226,14
걷기,17,-3.9122503,-0.63836473,7
연말,13,10.877962,-0.75014484,12
연휴,8,18.172462,-0.46574616,14
노랫말,0,-5.221108,-0.8395815,6
